Marca,Modelo,Capacidad,Color,Precio (S/.),Tienda
Apple,iPhone 11,64 GB,Blanco,2099,Hiraoka
Apple,iPhone 14 Plus,256 GB,Blanco Estelar,6299,Hiraoka
Apple,iPhone 14 Plus,256 GB,Morado,6299,Hiraoka
Apple,iPhone 11,64 GB,4GB RAM Negro,2099,Hiraoka
Apple,iPhone 11,128 GB,Blanco,2399,Hiraoka
Apple,iPhone 11,128 GB,Negro,2399,Hiraoka
Apple,iPhone 13,256 GB,Azul,5799,Hiraoka
Apple,iPhone 13,256 GB,Verde,4399,Hiraoka
Apple,iPhone 14,128 GB,Blanco Estelar,4999,Hiraoka
Apple,iPhone 14,128 GB,Medianoche,4999,Hiraoka
Apple,iPhone 14,128 GB,Azul,3899,Hiraoka
Apple,iPhone 14 Plus,256 GB,Medianoche,6299,Hiraoka
Apple,iPhone 14 Plus,128 GB,Medianoche,5599,Hiraoka
Apple,iPhone 14 Plus,128 GB,Blanco Estelar,5599,Hiraoka
Apple,iPhone 14 Pro,128 GB,Negro Espacial,5199,Hiraoka
Apple,iPhone 14 Pro,128 GB,Morado Oscuro,5199,Hiraoka
Apple,iPhone 13 Pro,512 GB,Grafito,6199,Hiraoka
Apple,iPhone 14 Pro,128 GB,Plata,5199,Hiraoka
Apple,iPhone 14,256 GB,Medianoche,5599,Hiraoka
Apple,iPhone 14 Pro Max,128 GB,Plata,5799,Hiraoka
Apple,iPhone 14 Plus,128 GB,Morado,5599,Hiraoka
Apple,iPhone 13 Pro,256 GB,Azul Sierra,5199,Hiraoka
Apple,iPhone 14 Plus,256 GB,Rojo,4999,Hiraoka
Apple,iPhone 13,512 GB,Verde,4999,Hiraoka
Apple,iPhone 14 Pro Max,128 GB,Negro Espacial,5799,Hiraoka
Apple,iPhone 14,256 GB,Blanco Estelar,5599,Hiraoka
Apple,iPhone 14 Pro Max,128 GB,Morado Oscuro,5799,Hiraoka
